wall,wall,wall,wall,wall,wall,wall
wall,"cloneSpawn:c=red:cloneId=1:eg=200,
cloneEnd:c=blue:cloneId=0,
goal:eg=100:c=blue",,,,"cloneSpawn:c=green:cloneId=2:eg=300,
cloneEnd:c=red:cloneId=1,
goal:eg=200:c=red",wall
wall,,,,,,wall
wall,,,,,,wall
wall,,,,,,wall
wall,,,,,,wall
wall,,,wall,,,wall
wall,,,,,,wall
wall,,,,,,wall
wall,"cloneSpawn:c=blue:cloneId=0:eg=100,
goal:eg=400:c=yellow",,,,"cloneSpawn:c=yellow:cloneId=3:eg=400,
cloneEnd:c=green:cloneId=2,
goal:eg=300:c=green",wall
wall,wall,wall,wall,wall,wall,wall
